ItemID,Sentiment,SentimentSource,SentimentText
112,0,Sentiment140,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
535,0,Sentiment140,"  Nadal is out @ French Open ... now, to my back-up -- Go ANDY RODDICK!"
774,0,Sentiment140, @lushone toolio has court on the 24th...
953,0,Sentiment140, @richietachie i missed all..imma call u tomorrow..and reduce the number of Qs by tomorrow pls...i have a phobia for that lol seriously
983,0,Sentiment140, 2 hear about jon n kate...couples should steer clear of those reality shows! just say no!
1242,1,Sentiment140," any day now, any way now. I Shall Be Released."
1312,0,Sentiment140, I can already tell that it's going to be one of *those* days...
1628,0,Sentiment140," college is over, I have now cleared and handed in my student card  uni to look forward to and enjoying the summer months"
1649,1,Sentiment140, CUBASE IS WORKING OH MY GOD
1732,1,Sentiment140, Disneyland was great! ... Got to go and pick up the kitties in a minute ... ?
1737,0,Sentiment140, don't feel like cooking...
1775,0,Sentiment140, damn wendy's commerical got that damn song in my head.
1870,0,Sentiment140, Eliminated Me (KQs) SB x (AKo) CO-1 with a king in the flop.
2292,0,Sentiment140, having a down moment! I think i need sleep! Totally Want to work my but off at something i believe in but don't think i ever will...
2417,0,Sentiment140, homework. uggh
2633,1,Sentiment140,"- I GOT A,  6/A IN MY SPANISH EXAM!! Im Soo Happy "
2716,0,Sentiment140, maaaann...well @ least u dnt hav 2 worry about this silly place nemore @shansopink ...ooo gurl they drive me insane n here...i hate rules
2827,0,Sentiment140, missing all time low...
2846,0,Sentiment140,"- my boys are rowdy now that 'dad' is home! we've been having lots of fun &amp; making lots of noise!!  but, now, jammie time is upon us... "
2916,0,Sentiment140, my mate now has sims 3 talk about trying to kill me 
3220,1,Sentiment140, IM A LITTLE SPOILED BRAT !  DONT HATE ME FOR HACKING YOU SISTA &gt;33
3590,0,Sentiment140, im not even allowed my eye drops
3920,0,Sentiment140, life is taking a lot of energy out of me atm. working today with a girl i hate! and have to usher children into sunday school to sing...
4052,0,Sentiment140," well... yes. and I promised to go out tonight, fuck. All I want to do is eat ice-cream and watch romcoms (clich̩, me?)"
4351,1,Sentiment140, Oh! &amp; thanks Mary for leaving the keys in the car on Saturday so me &amp; Ester could drive it around (even though you didn't know)! Hahaha.
4361,1,Sentiment140,#365Songs All caught up with my 365Songs... 
4444,0,Sentiment140, Poor lady. I wish I could help.
4525,0,Sentiment140," RMPS exam today - t'will be rubbish I presume. Had a fabby weekend shopping with zoe, 16 mile walk in 4 hr 20 and family dooo XD"
4794,0,Sentiment140,#dontyouhate muscle aches 
4833,1,Sentiment140,"- the first of a couple of friendly reminders that yeah, the LEADERS guys that look after you in chicago are making their LA debut. night "
4854,0,Sentiment140,#dontyouhate when ur so bored &amp; all that's keeping you entertained are the trending topics 
4856,0,Sentiment140,#dontyouhate When You Have To Fart.. But Turns Out You Have To Poo Really Bad  In PUBLIC!!
4872,1,Sentiment140,"#DuckRaces in the bath don't quite work  Especially if you have no ducks! Only a polar bear,a seal &amp; a whale."
5056,0,Sentiment140, whats going on?
5259,0,Sentiment140,#amazon #fail I decided to buy some mp3 downloads from @amazonmp3 this morning with a gift certificate. It just charged me without asking 
5360,1,Sentiment140,#followfriday @idaremyidea my #awesome Australian friend . full of joy and laughter. A great friend 
5485,0,Sentiment140, lost my bid on ebay. Oh well there's always next time.
5558,0,Sentiment140, my friends mom is at the hospital. pray for her.
5822,1,Sentiment140,"#bgt - 2 grand, I like them  - but them I'm soft as a blamange!"
5974,0,Sentiment140, Owww im hurting and I'm gonna be missing NIN/JA.....I wish it was being televised!! That be sweet! @trent_reznor I'm gonna miss you!
6021,1,Sentiment140,"#comcast on the phone told me they do not have M-Cards but installer did, so that was a nice surprise "
6083,0,Sentiment140, Rain is gone
6219,0,Sentiment140,#IranElection Voice from Iran: Shame on a country in which foreign embassies are safer than hospitals 
6276,0,Sentiment140, so many people playing uncharted beta
7194,0,Sentiment140,"#St.PetersburgFl Gibbs High where the Pinellas Cty Center for Arts is, received a grade 'F' from dept of FL edu 2008/09 school yr. #PCCA "
7340,0,Sentiment140,#iranelection violence isn't the answer... 
7633,1,Sentiment140,#meowmonday @SpookyPuss @Wildboutbirds @JennyRosePetal @Maggychou @krafty_kate08 @IppityPippity Thanks meows! 
8499,1,Sentiment140,&amp; someone just drove by with trs blasting 
8590,0,Sentiment140,&quot;Clearly your life is a cavalcade of misfortune&quot; he says re:my whine I'm not @ #nerdprom2 &amp; I can't evn stream it on my obsolete iPhone 
8709,0,Sentiment140, Why do other pet care people try to run others out of business? Or send suspicious e-mails fishing for info?
8729,0,Sentiment140," will be working all the way to 10pm  dis week,"
8948,0,Sentiment140,"&lt;--has once again completely drained her paypal account  Damn you etsy and ebay, why must you have such great things?!"
9316,0,Sentiment140,#chuckmemondays OMG. i miss watching Chuck.. The new season cant get here soon enough! I'll have to watch reruns for the entire summer 
9405,0,Sentiment140,"&quot;i'd stay like this forever if i could..&quot; blah, i miss him already. "
9483,1,Sentiment140,&quot;Can't help failing to remember to forget you&quot; 
9542,1,Sentiment140,#familyforce5 #familyforce5 #familyforce5  i love themmmmmmm 
9761,1,Sentiment140,"&quot;Gene Hunt is a guilty pleasure&quot;  - Send me down for 12 consecutive life sentences, then. "
9766,1,Sentiment140,&quot;Gia&quot;  is on tv... AWESOME NIGHT! 
9801,0,Sentiment140,&quot;meghan come home soon so we can put together hello kitty puzzles.&quot; - caitlyn. 
9899,1,Sentiment140,&quot;Hmm... Nope We Don't Sell Your Mom Here. But If We Did She'd Be in 'Used Hardware' &quot; 
9910,0,Sentiment140,&quot;My other ride is your mother.&quot; 
9942,1,Sentiment140,#followfriday @Smiletrain @southernmuse @damianhansen @serpentselixir @quackstervu  My first one so I guess that is how it's done 
9987,1,Sentiment140,&quot;PROMISE me one thing... you wont faLL for me&quot; smiLe 
9990,0,Sentiment140,&quot;Rate limit exceeded&quot; 
10092,1,Sentiment140,"&quot;If you see stupids everwhere, may be the problem is you!&quot;, I like sentence "
10203,0,Sentiment140,&quot;needs&quot; the clothes cannot shop  can't take it anymore
10371,1,Sentiment140,"&quot;Peter Pan &amp; Wendy turned out fine, so won't you fly with me?&quot; -Fly with me by Jonas Brothers. "
10717,0,Sentiment140,&quot;when the time is right - we can make super babies...&quot;   why don't i write shit like this?  tune of the day.
10781,1,Sentiment140,#iremember when smoking was a lesser crime than...say...graffiti 
