ItemID,Sentiment,SentimentSource,SentimentText
2,0,Sentiment140,                   I missed the New Moon trailer...
4,0,Sentiment140,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
33,0,Sentiment140,  -- Meet your Meat http://bit.ly/15SSCI
68,0,Sentiment140,  I miss New Jersey
77,0,Sentiment140,  i want a hug
90,1,Sentiment140,  Jin has a twitter.
98,0,Sentiment140,  My new car was stolen....by my mother who wanted to go pose at church.
113,1,Sentiment140,"  Thanks, I need all the help i can get."
123,0,Sentiment140,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
154,0,Sentiment140,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
195,0,Sentiment140,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML "
198,0,Sentiment140,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
245,0,Sentiment140,       FS keeps crashing when I try to load Bungie plane.
252,0,Sentiment140,"    fuck, fuck, fuuuuck!"
20,0,Sentiment140,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
59,1,Sentiment140,  Going To See Harry Sunday Happiness 
62,1,Sentiment140,-  I always get what I want
96,0,Sentiment140,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
110,0,Sentiment140,  so whats the status on next weekend
115,1,Sentiment140,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
137,0,Sentiment140, #twenty20
164,0,Sentiment140, ... Why am I feeling worse??? F!!!
192,1,Sentiment140, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
201,0,Sentiment140, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
350,0,Sentiment140,    i couldnt even have one fairytale night
353,0,Sentiment140,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
357,0,Sentiment140,   ... have to go now ??? 13 more minutes   ... please please please
363,0,Sentiment140,   bad day.....damn you @311. What kind of ticket sale was that.....
425,0,Sentiment140,  everythings wrong.
560,0,Sentiment140, - ticketsandpassports: Â lmao your not a nerd. i think its cool when guys like anime. http://tumblr.com/xqn1x1tue
594,0,Sentiment140, at work and got loads to do b4 I leave today. Toodles lufflies xxx
705,1,Sentiment140, @blondediva11 What happened while I was gone? Anybody get arrested http://tr.im/koFz
717,0,Sentiment140, ... i try... i try so hard... and i seem to get no credit for it.... wats the prob?
732,0,Sentiment140, ;( noooo! why? things are so complicated if I spelt that wrong idc
745,0,Sentiment140, @belllareow has disappeared again 
758,0,Sentiment140,"- @fontenot619 Hey you! @PoisonGirl10 How long will you be on? @summerblonde83 Thx! @Nic0pic0 hehehe yw ;) @sevgli Yeah, they're not! "
763,1,Sentiment140, @infobotz News = Google Getting Twitterpated? - http://tinyurl.com/oropl7
873,1,Sentiment140, @Dayngr TweetWrath I think I just coined a new word where is that twitter dictionary http://tr.im/nyYv
908,0,Sentiment140, Dont Wanna Leave NY Today.
910,0,Sentiment140, down to 3k in chips.
926,1,Sentiment140,- Every so often I catch my own reflection &amp; think .. Now that's one cool son-of-a-b*tch .. today's one of those days 
930,0,Sentiment140, Exams.....help !
941,0,Sentiment140, feelin very pessimistic ):
